INFO  2009-05-11T16:06:00,462 net.sf.vanadis.extrt.FrameworkExtenderBundleActivator: FrameworkExtenderBundleActivator[] created [main]
DEBUG 2009-05-11T16:06:01,417 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:14] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.lang artifactId:net.sf.vanadis.lang.piji version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/lang/net.sf.vanadis.lang.piji/1.1-SNAPSHOT/net.sf.vanadis.lang.piji-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,417 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:15] forwarded BundleSpecification[Coordinate[groupId:javax.servlet artifactId:com.springsource.javax.servlet version:Version[2.5.0] type:jar] uri:file:/Users/kjetil/.m2/repository/javax/servlet/com.springsource.javax.servlet/2.5.0/com.springsource.javax.servlet-2.5.0.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,417 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:16] forwarded BundleSpecification[Coordinate[groupId:com.sun.grizzly.osgi artifactId:grizzly-httpservice-bundle version:Version[1.9.14] type:jar] uri:file:/Users/kjetil/.m2/repository/com/sun/grizzly/osgi/grizzly-httpservice-bundle/1.9.14/grizzly-httpservice-bundle-1.9.14.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,418 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:17] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules.lang artifactId:net.sf.vanadis.modules.lang.piji version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/lang/net.sf.vanadis.modules.lang.piji/1.1-SNAPSHOT/net.sf.vanadis.modules.lang.piji-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,420 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:18] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.felixcmds version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.felixcmds/1.1-SNAPSHOT/net.sf.vanadis.modules.felixcmds-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,420 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.ModuleSpecification tracker:0] forwarded ModuleSpecification[reposerv type:reposerv] from [net.sf.vanadis.blueprints.ModuleSpecification] [main]
DEBUG 2009-05-11T16:06:01,420 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.ModuleSpecification tracker:1] forwarded ModuleSpecification[httpprovider type:httpprovider] from [net.sf.vanadis.blueprints.ModuleSpecification] [main]
DEBUG 2009-05-11T16:06:01,421 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.ModuleSpecification tracker:2] forwarded ModuleSpecification[remoting type:remoting] from [net.sf.vanadis.blueprints.ModuleSpecification] [main]
INFO  2009-05-11T16:06:01,659 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[ObjectManagerFactoryMBeanImpl[ObjectManagerFactoryImpl[logservice impl:SimpleLogService]] prop:ServiceProperties[[net.sf.vanadis.ext.ObjectManagerFactoryMBean]:MapPropertySet[[vanadis.objectname=net.sf.vanadis.modules.log.SimpleLogService:type=logservice-factory objectClass=[Ljava.lang.String;@3eeb5242] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@576080ea] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
INFO  2009-05-11T16:06:01,660 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.modules.log home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[ObjectManagerFactoryImpl[logservice impl:SimpleLogService] prop:ServiceProperties[[net.sf.vanadis.ext.ObjectManagerFactory]:MapPropertySet[[vanadis.objectmanager.type=logservice objectClass=[Ljava.lang.String;@17144a84] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@486dc6f3] [SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/]]
